"fips"|"lar_count"
"01001"|2728
"01003"|14780
"01005"|595
"01007"|693
"01009"|2466
"01011"|225
"01013"|656
"01015"|4354
"01017"|930
"01019"|954
"01021"|1900
"01023"|318
"01025"|859
"01027"|390
"01029"|502
"01031"|2550
"01033"|2576
"01035"|294
"01037"|385
"01039"|1214
"01041"|521
"01043"|3497
"01045"|1623
"01047"|892
"01049"|1691
"01051"|4182
"01053"|950
"01055"|3491
"01057"|431
"01059"|906
"01061"|946
"01063"|179
"01065"|516
"01067"|683
"01069"|4349
"01071"|1408
"01073"|27539
"01075"|322
"01077"|4023
"01079"|1243
"01081"|7453
"01083"|5655
"01085"|366
"01087"|502
"01089"|20161
"01091"|657
"01093"|840
"01095"|3455
"01097"|16304
"01099"|657
"01101"|8374
"01103"|5534
"01105"|258
"01107"|549
"01109"|944
"01111"|698
"01113"|2368
"01115"|4851
"01117"|12348
"01119"|242
"01121"|3124
"01123"|1790
"01125"|8767
"01127"|2298
"01129"|514
"01131"|229
"01133"|933
"02013"|6
"02016"|42
"02020"|12896
"02050"|168
"02060"|18
"02068"|41
"02070"|49
"02090"|3419
"02100"|69
"02105"|31
"02110"|1210
"02122"|2694
"02130"|367
"02150"|467
"02158"|9
"02164"|8
"02170"|5927
"02180"|153
"02185"|59
"02188"|41
"02195"|57
"02198"|84
"02220"|166
"02230"|44
"02240"|222
"02261"|232
"02275"|36
"02282"|12
"02290"|29
"04001"|1121
"04003"|5344
"04005"|6983
"04007"|2907
"04009"|1356
"04011"|121
"04012"|464
"04013"|280206
"04015"|12911
"04017"|4347
"04019"|55237
"04021"|31220
"04023"|1902
"04025"|15814
"04027"|8430
"05001"|500
"05003"|494
"05005"|1716
"05007"|16156
"05009"|1506
"05011"|251
"05013"|145
"05015"|1103
"05017"|244
"05019"|659
"05021"|401
"05023"|1230
"05025"|260
"05027"|662
"05029"|821
"05031"|5190
"05033"|2550
"05035"|2000
"05037"|718
"05039"|160
"05041"|264
"05043"|481
"05045"|6058
"05047"|650
"05049"|291
"05051"|4929
"05053"|794
"05055"|2070
"05057"|567
"05059"|1296
"05061"|430
"05063"|1229
"05065"|380
"05067"|394
"05069"|2044
"05071"|1053
"05073"|172
"05075"|546
"05077"|126
"05079"|297
"05081"|435
"05083"|596
"05085"|4072
"05087"|594
"05089"|681
"05091"|1457
"05093"|1316
"05095"|169
"05097"|310
"05099"|163
"05101"|220
"05103"|752
"05105"|402
"05107"|307
"05109"|272
"05111"|808
"05113"|562
"05115"|2393
"05117"|251
"05119"|17088
"05121"|745
"05123"|517
"05125"|6825
"05127"|298
"05129"|275
"05131"|4787
"05133"|456
"05135"|632
"05137"|404
"05139"|1519
"05141"|711
"05143"|10224
"05145"|3085
"05147"|120
"05149"|670
"06001"|70269
"06003"|99
"06005"|2374
"06007"|9700
"06009"|3690
"06011"|764
"06013"|66019
"06015"|875
"06017"|14139
"06019"|38122
"06021"|956
"06023"|3696
"06025"|5840
"06027"|520
"06029"|37360
"06031"|5510
"06033"|3444
"06035"|1134
"06037"|353990
"06039"|6411
"06041"|11711
"06043"|856
"06045"|2769
"06047"|11166
"06049"|248
"06051"|1104
"06053"|14873
"06055"|6658
"06057"|6874
"06059"|131021
"06061"|28526
"06063"|1285
"06065"|146477
"06067"|86591
"06069"|3693
"06071"|114730
"06073"|157120
"06075"|23020
"06077"|39191
"06079"|13757
"06081"|26938
"06083"|15738
"06085"|69896
"06087"|10828
"06089"|9741
"06091"|186
"06093"|1629
"06095"|28051
"06097"|22921
"06099"|27544
"06101"|4455
"06103"|2795
"06105"|510
"06107"|17647
"06109"|3356
"06111"|38779
"06113"|8516
"06115"|4485
"08001"|42538
"08003"|334
"08005"|50248
"08007"|872
"08009"|62
"08011"|125
"08013"|17155
"08014"|4785
"08015"|984
"08017"|40
"08019"|881
"08021"|147
"08023"|127
"08025"|106
"08027"|426
"08029"|1630
"08031"|44690
"08033"|77
"08035"|30232
"08037"|3719
"08039"|2800
"08041"|53748
"08043"|2706
"08045"|3367
"08047"|577
"08049"|2106
"08051"|1172
"08053"|65
"08055"|331
"08057"|65
"08059"|43590
"08061"|39
"08063"|262
"08065"|487
"08067"|3133
"08069"|22966
"08071"|617
"08073"|202
"08075"|839
"08077"|10290
"08079"|70
"08081"|708
"08083"|1106
"08085"|2132
"08087"|1466
"08089"|583
"08091"|370
"08093"|2325
"08095"|167
"08097"|1146
"08099"|251
"08101"|9688
"08103"|314
"08105"|382
"08107"|1803
"08109"|200
"08111"|38
"08113"|635
"08115"|91
"08117"|3796
"08119"|2255
"08121"|191
"08123"|27062
"08125"|321
"09001"|33504
"09003"|32250
"09005"|6920
"09007"|6786
"09009"|28507
"09011"|10535
"09013"|5544
"09015"|5315
"10001"|9226
"10003"|25098
"10005"|15271
"11001"|30863
"12001"|9679
"12003"|1154
"12005"|10990
"12007"|837
"12009"|35368
"12011"|83622
"12013"|327
"12015"|11093
"12017"|7551
"12019"|13278
"12021"|20513
"12023"|2541
"12027"|803
"12029"|393
"12031"|48778
"12033"|14123
"12035"|7038
"12037"|680
"12039"|1420
"12041"|662
"12043"|258
"12045"|957
"12047"|318
"12049"|504
"12051"|1016
"12053"|10853
"12055"|3987
"12057"|72551
"12059"|464
"12061"|8071
"12063"|1280
"12065"|463
"12067"|165
"12069"|21010
"12071"|42383
"12073"|10757
"12075"|1574
"12077"|182
"12079"|430
"12081"|20681
"12083"|17305
"12085"|7965
"12086"|84530
"12087"|3869
"12089"|5952
"12091"|13290
"12093"|1074
"12095"|61776
"12097"|22824
"12099"|66990
"12101"|32544
"12103"|50095
"12105"|34774
"12107"|2352
"12109"|18740
"12111"|20209
"12113"|11976
"12115"|23821
"12117"|22465
"12119"|5711
"12121"|1371
"12123"|560
"12125"|408
"12127"|29576
"12129"|1531
"12131"|6762
"12133"|754
"13001"|529
"13003"|143
"13005"|187
"13007"|60
"13009"|1289
"13011"|704
"13013"|5567
"13015"|5538
"13017"|371
"13019"|588
"13021"|4287
"13023"|246
"13025"|557
"13027"|539
"13029"|2814
"13031"|2323
"13033"|613
"13035"|1050
"13037"|84
"13039"|2906
"13043"|247
"13045"|5430
"13047"|3357
"13049"|314
"13051"|13441
"13053"|69
"13055"|572
"13057"|17984
"13059"|4064
"13061"|72
"13063"|10711
"13065"|210
"13067"|42348
"13069"|1055
"13071"|1086
"13073"|10032
"13075"|508
"13077"|8947
"13079"|350
"13081"|470
"13083"|672
"13085"|1866
"13087"|692
"13089"|35188
"13091"|384
"13093"|213
"13095"|2177
"13097"|8120
"13099"|281
"13101"|67
"13103"|3782
"13105"|503
"13107"|416
"13109"|313
"13111"|1778
"13113"|7227
"13115"|3335
"13117"|17552
"13119"|679
"13121"|53247
"13123"|1743
"13125"|63
"13127"|4385
"13129"|2177
"13131"|576
"13133"|1077
"13135"|50396
"13137"|1732
"13139"|10145
"13141"|268
"13143"|1174
"13145"|1921
"13147"|905
"13149"|432
"13151"|15081
"13153"|7829
"13155"|190
"13157"|4976
"13159"|739
"13161"|340
"13163"|322
"13165"|149
"13167"|171
"13169"|1118
"13171"|689
"13173"|449
"13175"|1578
"13177"|1565
"13179"|3228
"13181"|330
