"concat"|"count"
"01001"|2484
"01003"|14181
"01005"|580
"01007"|623
"01009"|2181
"01011"|184
"01013"|589
"01015"|3940
"01017"|806
"01019"|876
"01021"|1722
"01023"|279
"01025"|641
"01027"|376
"01029"|443
"01031"|2480
"01033"|2309
"01035"|284
"01037"|342
"01039"|1030
"01041"|372
"01043"|3168
"01045"|1587
"01047"|803
"01049"|1548
"01051"|3756
"01053"|889
"01055"|2972
"01057"|382
"01059"|737
"01061"|778
"01063"|166
"01065"|387
"01067"|660
"01069"|4186
"01071"|1218
"01073"|26882
"01075"|262
"01077"|3727
"01079"|1219
"01081"|6727
"01083"|5586
"01085"|331
"01087"|458
"01089"|19894
"01091"|558
"01093"|688
"01095"|3229
"01097"|15570
"01099"|643
"01101"|7876
"01103"|5386
"01105"|166
"01107"|422
"01109"|930
"01111"|653
"01113"|2305
"01115"|4563
"01117"|12074
"01119"|220
"01121"|2846
"01123"|1574
"01125"|7830
"01127"|2151
"01129"|439
"01131"|216
"01133"|703
"02013"|6
"02016"|42
"02020"|12642
"02050"|167
"02060"|18
"02068"|35
"02070"|49
"02090"|2807
"02100"|69
"02105"|31
"02110"|1202
"02122"|2679
"02130"|367
"02150"|465
"02158"|9
"02164"|8
"02170"|5685
"02180"|153
"02185"|59
"02188"|41
"02195"|54
"02198"|84
"02220"|165
"02230"|44
"02240"|199
"02261"|227
"02275"|36
"02282"|12
"02290"|26
"04001"|1092
"04003"|5256
"04005"|6948
"04007"|2873
"04009"|1348
"04011"|119
"04012"|443
"04013"|278293
"04015"|12471
"04017"|4318
"04019"|54329
"04021"|30956
"04023"|1882
"04025"|15573
"04027"|8166
"05001"|408
"05003"|482
"05005"|1626
"05007"|14826
"05009"|1311
"05011"|245
"05013"|108
"05015"|879
"05017"|233
"05019"|642
"05021"|383
"05023"|1170
"05025"|211
"05027"|652
"05029"|779
"05031"|4954
"05033"|2306
"05035"|1875
"05037"|588
"05039"|104
"05041"|254
"05043"|471
"05045"|5855
"05047"|612
"05049"|284
"05051"|4799
"05053"|713
"05055"|2004
"05057"|517
"05059"|1238
"05061"|399
"05063"|1220
"05065"|374
"05067"|385
"05069"|1812
"05071"|1039
"05073"|152
"05075"|472
"05077"|96
"05079"|230
"05081"|319
"05083"|519
"05085"|3856
"05087"|509
"05089"|633
"05091"|1294
"05093"|1099
"05095"|148
"05097"|297
"05099"|153
"05101"|187
"05103"|688
"05105"|368
"05107"|303
"05109"|258
"05111"|711
"05113"|531
"05115"|2282
"05117"|187
"05119"|16285
"05121"|563
"05123"|427
"05125"|6639
"05127"|245
"05129"|238
"05131"|4427
"05133"|335
"05135"|616
"05137"|387
"05139"|1505
"05141"|624
"05143"|9256
"05145"|3039
"05147"|115
"05149"|583
"06001"|68990
"06003"|97
"06005"|2345
"06007"|9552
"06009"|3643
"06011"|757
"06013"|65163
"06015"|870
"06017"|13981
"06019"|37399
"06021"|941
"06023"|3677
"06025"|5626
"06027"|475
"06029"|36296
"06031"|5329
"06033"|3398
"06035"|1125
"06037"|345356
"06039"|6297
"06041"|11534
"06043"|826
"06045"|2728
"06047"|10811
"06049"|248
"06051"|1081
"06053"|14712
"06055"|6577
"06057"|6783
"06059"|128951
"06061"|28247
"06063"|1275
"06065"|144677
"06067"|85440
"06069"|3641
"06071"|112878
"06073"|155217
"06075"|22514
"06077"|38474
"06079"|12683
"06081"|26280
"06083"|15179
"06085"|68727
"06087"|10458
"06089"|9445
"06091"|182
"06093"|1615
"06095"|27747
"06097"|22392
"06099"|26979
"06101"|4362
"06103"|2747
"06105"|506
"06107"|17221
"06109"|3298
"06111"|37792
"06113"|8168
"06115"|4423
"08001"|41645
"08003"|306
"08005"|48963
"08007"|859
"08009"|48
"08011"|100
"08013"|16855
"08014"|4711
"08015"|945
"08017"|19
"08019"|849
"08021"|131
"08023"|123
"08025"|94
"08027"|384
"08029"|1608
"08031"|43512
"08033"|76
"08035"|29504
"08037"|3608
"08039"|2722
"08041"|52824
"08043"|2582
"08045"|3293
"08047"|567
"08049"|2049
"08051"|1152
"08053"|61
"08055"|319
"08057"|61
"08059"|42286
"08061"|21
"08063"|169
"08065"|479
"08067"|3056
"08069"|22575
"08071"|560
"08073"|169
"08075"|772
"08077"|9959
"08079"|70
"08081"|687
"08083"|1067
"08085"|2109
"08087"|1350
"08089"|502
"08091"|368
"08093"|2273
"08095"|131
"08097"|1103
"08099"|161
"08101"|8758
"08103"|307
"08105"|365
"08107"|1776
"08109"|173
"08111"|38
"08113"|615
"08115"|60
"08117"|3712
"08119"|2146
"08121"|158
"08123"|26578
"08125"|218
"09001"|31515
"09003"|30256
"09005"|6153
"09007"|6360
"09009"|26787
"09011"|9321
"09013"|5251
"09015"|4627
"10001"|8948
"10003"|24399
"10005"|14491
"11001"|30062
"12001"|9500
"12003"|1148
"12005"|10429
"12007"|834
"12009"|34641
"12011"|82036
"12013"|321
"12015"|10875
"12017"|7488
"12019"|13210
"12021"|20151
"12023"|2491
"12027"|791
"12029"|370
"12031"|48266
"12033"|13300
"12035"|6994
"12037"|658
"12039"|1346
"12041"|629
"12043"|238
"12045"|940
"12047"|313
"12049"|418
"12051"|935
"12053"|10781
"12055"|3535
"12057"|71710
"12059"|445
"12061"|7892
"12063"|1249
"12065"|430
"12067"|156
"12069"|20548
"12071"|41662
"12073"|10010
"12075"|1487
"12077"|174
"12079"|422
"12081"|20466
"12083"|16954
"12085"|7860
"12086"|80360
"12087"|3765
"12089"|5881
"12091"|12658
"12093"|1069
"12095"|60823
"12097"|22538
"12099"|65573
"12101"|31948
"12103"|49693
"12105"|34246
"12107"|2337
"12109"|18586
"12111"|20019
"12113"|11327
"12115"|23553
"12117"|22245
"12119"|5664
"12121"|1351
